objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14660350,025056,RUA ARAPACU,146,Inhoaíba                  ,2,RESIDENCIAL,CASA,100,74,144272.15,144272.15,COMPRA E VENDA,2015,01,6
14660351,098806,RUA GENTIL DE OURO,146,Inhoaíba                  ,3,RESIDENCIAL,APARTAMENTO,100,49.666666,128960.366666,128960.366666,COMPRA E VENDA,2015,01,8
14660352,110338,RUA ESDRAS NASCIMENTO,146,Inhoaíba                  ,2,RESIDENCIAL,CASA,100,32,62398.96,62398.96,COMPRA E VENDA,2015,01,7
14660353,200790,RUA DAS MACAS,147,Cosmos                    ,2,RESIDENCIAL,APARTAMENTO,100,66,117044.54,117044.54,COMPRA E VENDA,2015,01,1
14660354,006957,RUA RAFAEL BORDALO,151,Guaratiba                 ,2,RESIDENCIAL,CASA,100,50,98117.625,98117.625,COMPRA E VENDA,2015,01,4
14660355,015214,ETR CABUCU DE BAIXO,151,Guaratiba                 ,3,RESIDENCIAL,CASA,100,65.666666,148300.86,148300.86,COMPRA E VENDA,2015,01,3
14660356,015214,ETR CABUCU DE BAIXO,151,Guaratiba                 ,3,RESIDENCIAL,CASA,100,64.666666,146043.336666,146043.336666,COMPRA E VENDA,2015,01,6
14660357,029587,ETR DO MAGARCA,151,Guaratiba                 ,5,RESIDENCIAL,CASA,100,54,121952.59,121952.59,COMPRA E VENDA,2015,01,3
14660358,029587,ETR DO MAGARCA,151,Guaratiba                 ,3,RESIDENCIAL,CASA,100,54,121953.73,121953.73,COMPRA E VENDA,2015,01,6
14660359,031286,ETR DA MATRIZ,151,Guaratiba                 ,2,RESIDENCIAL,APARTAMENTO,100,47,119317.785,119317.785,COMPRA E VENDA,2015,01,1
14660360,031294,ETR DO MATO ALTO,151,Guaratiba                 ,6,RESIDENCIAL,CASA,6.161666,977,149757.668333,2430905.418333,COMPRA E VENDA,2015,01,5
14660361,229476,RUA LUIZ EMYGDIO DE MELLO FILHO,151,Guaratiba                 ,2,RESIDENCIAL,APARTAMENTO,100,90.5,217514.835,217514.835,COMPRA E VENDA,2015,01,3
14660362,016923,ETR CATRUZ,153,Pedra de Guaratiba        ,2,RESIDENCIAL,CASA,100,59,128522.57,128522.57,COMPRA E VENDA,2015,01,11
14660363,125526,RUA SOLD ALMANDIO GOERING,153,Pedra de Guaratiba        ,2,RESIDENCIAL,APARTAMENTO,100,62,175535.7,175535.7,COMPRA E VENDA,2015,01,3
14660364,072504,RUA GAL BRUCE,158,Vasco da Gama             ,2,RESIDENCIAL,APARTAMENTO,100,58.5,132132.06,132132.06,COMPRA E VENDA,2015,01,7
14660365,060129,RUA ANDRE CAVALCANTI,005,Centro                    ,3,RESIDENCIAL,APARTAMENTO,95.833333,40.666666,487566.463333,514459.313333,COMPRA E VENDA,2016,01,7
14660366,060475,RUA CARLOS DE CARVALHO,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,36,352465.165,352465.165,COMPRA E VENDA,2016,01,4
14660367,061267,RUA DOS INVALIDOS,005,Centro                    ,3,RESIDENCIAL,APARTAMENTO,100,51.666666,522760.773333,522760.773333,COMPRA E VENDA,2016,01,7
14660368,061630,AVN MEM DE SA,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,36,342260.29,342260.29,COMPRA E VENDA,2016,01,12
14660369,062323,RUA DO REZENDE,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,26.5,281055.32,281055.32,COMPRA E VENDA,2016,01,10
14660370,062331,RUA RIACHUELO,005,Centro                    ,8,RESIDENCIAL,APARTAMENTO,100,33.25,372762.24875,372762.24875,COMPRA E VENDA,2016,01,4
14660371,029587,ETR DO MAGARCA,151,Guaratiba                 ,23,RESIDENCIAL,CASA,100,53.956521,121854.802173,121854.802173,COMPRA E VENDA,2015,01,1
14660372,029587,ETR DO MAGARCA,151,Guaratiba                 ,2,RESIDENCIAL,CASA,100,54,115854.96,115854.96,COMPRA E VENDA,2015,01,8
14660373,135319,AVN MARIO PEDROSA,151,Guaratiba                 ,4,RESIDENCIAL,CASA,100,54,149247.97,149247.97,COMPRA E VENDA,2015,01,3
14660374,229476,RUA LUIZ EMYGDIO DE MELLO FILHO,151,Guaratiba                 ,2,RESIDENCIAL,APARTAMENTO,100,90.5,206006.79,206006.79,COMPRA E VENDA,2015,01,1
14660375,229476,RUA LUIZ EMYGDIO DE MELLO FILHO,151,Guaratiba                 ,2,RESIDENCIAL,CASA,100,90,209405.445,209405.445,COMPRA E VENDA,2015,01,2
14660376,125518,RUA PEDRA BELA,153,Pedra de Guaratiba        ,2,RESIDENCIAL,CASA,100,84.5,232977.685,232977.685,COMPRA E VENDA,2015,01,7
14660377,066639,LAD BARROSO,002,Gamboa                    ,2,RESIDENCIAL,CASA,33.33,76,33116.45,99359.29,COMPRA E VENDA,2016,01,2
14660378,060475,RUA CARLOS DE CARVALHO,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,39.5,383535.06,383535.06,COMPRA E VENDA,2016,01,3
14660379,060475,RUA CARLOS DE CARVALHO,005,Centro                    ,3,RESIDENCIAL,APARTAMENTO,62.666666,331.333333,502211.433333,889650.836666,COMPRA E VENDA,2016,01,9
14660380,060475,RUA CARLOS DE CARVALHO,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,38.5,352974.5,352974.5,COMPRA E VENDA,2016,01,12
14660381,061127,AVN GOMES FREIRE,005,Centro                    ,3,RESIDENCIAL,APARTAMENTO,100,24.666666,265265.686666,265265.686666,COMPRA E VENDA,2016,01,11
14660382,061267,RUA DOS INVALIDOS,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,38,343374.25,343374.25,COMPRA E VENDA,2016,01,9
14660383,062026,RUA WASHINGTON LUIZ,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,75,30.5,289856.025,491699.09,COMPRA E VENDA,2016,01,1
